Name;ART;HANDLUNG;REICHWEITE;DAUER;SEITE;Widerstand;Elementarschaden;Erläuterungen
Besessenheit;P;Komplex;B;Speziell;SG S. 224;KS*2 vs. INT+WIL/ Objektwider.;;"BESESSENHEIT Art: P Handlung: Komplex Reichweite: Berührung Dauer: Speziell Manche Geister können nicht materialisieren. Deshalb müssen sie von Gefäßen Besitz ergreifen, um mit der physischen Welt zu interagieren. Der Geist benutzt die Aura des Gefäßes als vorübergehende Verbindung zur physischen Welt. Dazu legt er eine Vergleichende Probe auf Kraftstufe x 2 gegen Intuition + Willenskraft eines lebenden Gefäßes bzw. gegen den Objektwiderstand eines unbelebten Gefäßes ab. Ein vorbereitetes Gefäß (S. 159) verleiht dem Geist dabei einen Würfelpoolbonus von +6. Wenn dem Geist die Probe misslingt, wird er auf die Astralebene zurückgezwungen. Gelingt ihm die Probe, gelten Geist und Gefäß für die Zeit der Besessenheit als ein einzelnes Dualwesen (SR5, S. 396). Der Geist kann mit einer Verbannen-Probe (SR5, S. 300) wieder auf die Astralebene gezwungen werden. Nach einer misslungenen Besessenheitsprobe oder einem erfolgreichen Verbannen kann der Geist bei diesem Gefäß bis zum nächsten Sonnenauf- oder -untergang keinen neuen Versuch mehr unternehmen. Die folgenden Regeln gelten für Besessenheitsgeister: • Lebende Gefäße: Der Geist ermöglicht es einem lebenden Geistergefäß während der Besessenheit, Verletzungsmodi katoren (SR5, S. 172) um seine Kraftstufe (bis zu einem Minimum von 0) zu senken. Außerdem werden die Körperlichen Attribute des Gefäßes, die niedriger als die Kraftstufe sind, jeweils um die (abgerundete) Hälfte der Kraftstufe erhöht. Während der Besessenheit werden die Geistigen und Spezialattribute des Geistes benutzt (was bedeutet, dass ein besessener Technomancer keinen Zugang zur Resonanz hat), und der Initiativewert wird entsprechend angepasst (wobei die Initiativewürfel des Geistes zum Einsatz kommen). Der Geist verwendet außerdem seine eigenen Fertigkeiten, da er keinen Zugriff auf Wissen und Fertigkeiten des Gefäßes hat. Die Besessenheit erlaubt dem Geist keine Benutzung von AR oder kybernetischen Interfaces, und er kann keinen Vorteil aus Bodytech erhalten, die aktiv gesteuert werden muss. • Tote oder unbelebte Geistergefäße: Je nach Situation und Art des Gefäßes steigen Strukturstufe und Panzerungswert (SR5, S. 196), Objektwiderstand oder Körperliche Attribute eines nicht lebenden Gefäßes um die (abgerundete) halbe Kraftstufe des Geistes. Die Gesamtwesenheit verwendet die verstärkten Attribute (oder die des Geistes, wenn das Gefäß keine besitzt) zur Berechnung des Initiativewerts sowie die Initiativewürfel des Geistes. Der Geist kann alle seine Kräfte einsetzen, das Gefäß aber nur so bewegen, wie es dem Gefäß normalerweise auch möglich wäre. Ein Geist, der eine Pistole in Besitz nimmt, kann sie also abfeuern, sie aber weder bewegen noch etwaige Smartgunfunktionen benutzen. Generell können Geister nur mechanische Funktionen kontrollieren, die keine komplizierte Elektronik, DNI oder WiFi-Steuerung benötigen. • Besessenheit und Dienste: Wie die Materialisierung verbraucht die Besessenheit selbst keinen Dienst des Geistes. Wenn der Geist aber seine Dienste abgeleistet hat, verlässt er das Gefäß und kehrt auf die Astralebene zurück. Das Gefäß kehrt in seinen Ursprungszustand zurück, aber jeglicher erlittene Schaden bleibt bestehen. Der Geist verlässt das Gefäß ebenfalls und kehrt auf die Astralebene zurück, wenn der Beschwörer es be ehlt – selbst wenn der Geist dem Beschwörer noch Dienste schuldet. • Rollenspiel und Besessenheit: Ein Zauberer, der von einem Geist besessen ist, den er beschworen hat, bekommt mit, was der Geist tut, und kann ihm weiter Befehle geben. Damit sich der Spieler nicht ausgeschlossen fühlt, sollte der Spielleiter ihm erlauben, den Geist, den der Zauberer beherrscht und der seinen Körper steuert, im Rollenspiel darzustellen. Er kann das auch Spielern von Charakteren erlauben, die von „freundlichen“ Geistern besessen sind. Trotzdem erhält der Geist dadurch keinen direkten Zugang zu Wissen oder Fertigkeiten des Charakters. • Schaden: Wenn der Geist oder das Gefäß bereits Schaden erlitten haben, bleibt dieser auch während der Besessenheit bestehen; es gilt aber nur der (bei lebenden Gefäßen durch die Kraftstufe des Geistes modi zierte) jeweils höhere gesamte Verletzungsmodi kator (also der von Geist oder Gefäß). Körperlicher Schaden, der während der Besessenheit erlitten wird, wird für Geist und Gefäß zusammen notiert, und beide bekommen am Ende der Besessenheit (zusätzlich zum Schaden von vor der Besessenheit) die volle Höhe auf ihre Zustandsmonitore übertragen. Wenn die Besessenheit endet, erhalten die Körperlichen Attribute des Gefäßes ihre ursprüngliche Höhe zurück. Der Schaden hingegen bleibt und kann potenziell tödliche Nebenwirkungen haben."
Bewegung;P;Komplex;BF;A;SR5 S. 395;speziell;;BEWEGUNG Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Mit dieser Kraft kann der Critter die Bewegungsrate eines Ziels erhöhen oder senken. Die Kraft wirkt nur auf Objekte, die auch fähig sind, sich zu bewegen: Fahrzeuge, Charaktere, Critter. Wenn der Critter die Kraft nicht auf sich selbst anwendet, funktioniert sie nur in dem Territorium, das er kontrolliert. Wendet er sie bei sich selbst an, kann sie überall eingesetzt werden. Der Critter kann die Bewegungsrate des Ziels mit einem Wert bis zur Höhe seines Magieattributs multiplizieren oder dividieren. Die Kraft kann auf ein und dasselbe Ziel nur einmal gleichzeitig angewendet werden. Sobald das Ziel das Territorium oder die Domäne des Critters verlässt, hört die Kraft auf zu wirken, und die Bewegungsrate normalisiert sich wieder. Diese Kraft gegen Fahrzeuge einzusetzen, ist schwieriger als gegen Critter oder Charaktere. Ist das Ziel ein Fahrzeug, legt der Critter eine Probe auf Magie + Willenskraft mit einem Schwellenwert ab, der der Hälfte des Rumpfwertes des Fahrzeugs (aufgerundet) entspricht und mindestens 2 beträgt. Schafft der Critter den Schwellenwert, werden die Nettoerfolge sowohl zur Beschleunigung als auch zur Geschwindigkeit des Fahrzeugs addiert. Der Critter kann weiter in jeder Kampfrunde, in der er die Kraft aufrechterhält, Proben auf Magie + Willenskraft ablegen, um das Fahrzeug zu beschleunigen oder zu verlangsamen, solange es sich in seiner Domäne bzw. seinem Territorium be ndet. Je nach Situation können die plötzlichen Geschwindigkeitsänderungen eine Fahrzeugprobe (S. 202) erforderlich machen.
Bewohnung;P;Auto;S;Speziell;SG S. 226;;;BEWOHNUNG (SG S. 226!!!) Art: P Handlung: Automatisch Reichweite: Selbst Dauer: Speziell Die meisten Geister können mit der physischen Ebene nur interagieren, wenn sie materialisiert sind oder ein Gefäß durch Besessenheit steuern. Ein Geist mit der Kraft Bewohnung existiert dauerhaft auf der physischen Ebene, nachdem er mit einem vorbereiteten Gefäß verschmolzen ist. Er kann nicht durch Verbannen vom Gefäß getrennt werden und es auch nicht freiwillig verlassen. Ein bewohnender Geist wird nur verdrängt, wenn sein Gefäß durch überschüssigen Körperlichen Schaden (SR5, S. 207) vernichtet wird. Wenn das bewohnte Gefäß lebendig ist, erhält der Geist die völlige Kontrolle über den Körper des Gefäßes und Zugang zu einigen oder allen seinen Erinnerungen. Im Zuge der Verschmelzung wird das ursprüngliche Bewusstsein des Gefäßes (so vorhanden) aufgezehrt, und der Charakter ist verloren (auch wenn der Spielleiter etwas anderes festlegen kann, wenn es zur Geschichte passt). [...]
Bewusstsein;P;Auto;S;I;SR5 S. 395;;;BEWUSSTSEIN Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Critter mit der Kraft Bewusstsein sind sich ihrer selbst bewusst, können selbstständige Entscheidungen treffen und besitzen im Allgemeinen eine ähnliche Intelligenz wie der Homo sapiens (wenn nicht sogar eine höhere). Die meisten Critter gelten hinsichtlich Fertigkeiten, die sie nicht besitzen, als Ahnungslos, Critter mit Bewusstsein dagegen lediglich als Ungeübt (siehe S. 313), d.h. sie können nach den normalen Regeln improvisieren. Außerdem können sie neue Fertigkeiten erlernen, wenn sie wollen. Die meisten Critter mit Bewusstsein sind weltlich, aber es ist durchaus möglich, dass sie Erwacht sind und ein Magieattribut besitzen. Erwachte Critter mit Bewusstsein können beliebige magische Künste erlernen und unterliegen denselben Magieregeln wie normale Charaktere. Auch wenn bislang keine Digital Erwachten Critter (also quasi als Technomancer) bekannt sind, hat die Existenz von „Technocrittern“ viele Wissenschaftler zu der Vermutung veranlasst, dass dies nur noch eine Frage der Zeit ist – falls es nicht schon geschehen ist.
Bindung;P;Komplex;Speziell;S;SR5 S. 395;MAG+WIL vs. STR+KON;;BINDUNG Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Mittels einer Art Spinnennetz, einer klebrigen Zunge oder mittels Magie kann ein Critter mit dieser Kraft ein Opfer an jeder Oberfläche festkleben, die es berührt (oft, aber nicht immer, kann das auch der Critter selbst sein). Das Opfer kann mit einer Komplexen Handlung versuchen, sich zu befreien, wobei es eine Vergleichende Probe auf Stärke + Konstitution gegen Magie + Willenskraft des Critters ablegt. Ist das Opfer erfolgreich, kann es sich befreien. Wenn nicht, ist es bis zum nächsten Zeitpunkt, an dem es einen Befreiungsversuch unternehmen kann, bewegungsunfähig. Die Reichweite der Kraft hängt davon ab, auf welche Weise der Critter das Opfer bindet: Er kann ein klebriges Netz verschießen (Reichweite: BF), einen klebrigen Körper haben (Reichweite: B) oder einfach gut darin sein, sich selbst an Dinge zu kleben (Reichweite: Selbst).
Domestiziert;P;Auto;S;I;CR S. 188;;;DOMESTIZIERT Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Domestizierten Crittern liegt es im Blut, gut mit Metamenschen zusammenzuarbeiten. Sie können eine Anzahl von Kommandos in Höhe ihres doppelten Logikattributes erlernen. Außerdem sinkt der Schwellenwert für Proben, um einem Domestizierten Critter ein neues Kommando beizubringen, um 1.
Drachensprache;M;Auto;BF;S;SR5 S. 395;;;DRACHENSPRACHE Art: M Handlung: Auto Reichweite: BF Dauer: Sofort Die drachische Physiologie gestattet keine verbale Kommunikation. Drachen (und einige andere, möglicherweise verwandte, Critter) sind jedoch mittels dieser Kraft in der Lage, auf telepathischem Wege mit beliebig vielen anderen Lebewesen innerhalb ihres Blickfelds zu kommunizieren, unabhängig von den Sprachfertigkeiten der anderen Lebewesen. Diese telepathische Kommunikation kann nicht mit technischen Mitteln übertragen werden. Wenn Drachen also mithilfe moderner Technologie kommunizieren wollen, müssen sie einen Metamenschen als „Übersetzer“ verwenden. Die Kraft ermöglicht einem Critter, Sprache zu projizieren, die Zielperson kann jedoch nicht auf gleiche Weise antworten, ohne selbst telepathisch begabt zu sein.
Dualwesen;P;Auto;S;I;SR5 S. 396;;;"DUALWESEN Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Duale Critter existieren gleichzeitig auf der Astralebene und der physischen Ebene. Sie können sowohl auf astrale wie auch auf physische Wesen einwirken. Sie können die Astralebene wahrnehmen und mit ihr interagieren wie ein Charakter, der astrale Wahrnehmung benutzt (s. Astrale Wahrnehmung, S. 312). Ein Dualwesen zu sein, unterscheidet sich jedoch von der astralen Wahrnehmung insofern, als ein dualer Critter immer die physische und die astrale Welt gleichzeitig wahrnimmt; er braucht nicht hin und her zu wechseln (und kann es auch gar nicht). Sein Gehirn ist es gewohnt, gleichzeitig astrale und physische Wahrnehmungen zu verarbeiten, daher erleiden duale Critter keinen Würfelpoolmodi kator von -2 für Handlungen in der physischen Welt, während sie astral wahrnehmen."
Dunkelheit;P;Komplex;BF;A;CR S. 189;;;DUNKELHEIT Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Manchmal ist ein plötzlicher Schatten nicht bloß eine Wolke, die die Sonne verdeckt. Critter mit dieser Kraft können eine Probe auf Magie + Willenskraft (3) ablegen, um eine Kugel mit gedämpfter Beleuchtung zu schaffen. Diese Kugel hat einen maximalen Radius von [Magie des Critters] Metern. Jeder Nettoerfolg bei der Probe verschlechtert den Umweltmodikator für Beleuchtung (SR5, S. 176) um eine Kategorie. Wenn keine Nettoerfolge erzielt werden, stößt der Critter nur dunklen Nebel aus, der keine Auswirkung auf die Sichtverhältnisse hat
Einfluss;M;Komplex;BF;S;SR5 S. 396;MAG+CHA vs. WIL+LOG;;EINFLUSS Art: M Handlung: Komplex Reichweite: BF Dauer: Sofort Diese Kraft verleiht einem Critter die Fähigkeit, Suggestionen in den Geist eines Opfers zu projizieren. Dazu wird eine Vergleichende Probe auf Magie + Charisma des Critters gegen Willenskraft + Logik des Opfers abgelegt. Ist der Critter erfolgreich, verhält sich das Opfer, als wäre die Suggestion sein eigener Gedanke. Wird dem Opfer klargemacht, dass die Suggestion falsch ist, kann es sie auf die gleiche Weise wie einen Beherrschungs-Manipulationszauber (S. 288) überwinden. BEHERRSCHUNG: Ziele widerstehen diesen Zaubern mit Willenskraft + Logik. Notieren Sie sich die Nettoerfolge Ihres Charakters, weil diese angeben, wie lange er den Zauber aufrechterhalten kann. Solange der Zauber aufrechterhalten wird, kann das Ziel in jeder Handlungsphase mit einer Komplexen Handlung eine Probe auf Willenskraft + Logik mit einem Malus in Höhe der Kraft des Zaubers ablegen. Jeder Erfolg bei dieser Probe senkt die ursprünglichen Nettoerfolge des Zauberers um 1. Das Wesen, das durch diesen Zauber kontrolliert wird, darf diese Widerstandshandlung auch dann durchführen, wenn es durch die Zauberwirkung eigentlich nicht handeln dürfte. Der Zauber endet, sobald die Nettoerfolge auf 0 reduziert wurden. Bei einer Beherrschung mit Flächenwirkung widerstehen alle Opfer separat. Solange der Zauberer noch mindestens ein Opfer unter Beherrschung hat, kann er den Zauber aufrechterhalten.
Elementarer Angriff;P;Komplex;Speziell;S;SR5 S. 396;REA+INT? KON+Panz/DK-Kraftstufe;;ELEMENTARER ANGRIFF Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Mit dieser Kraft kann ein Critter einen tödlichen Strahl elementarer Energie projizieren, der sich beispielsweise als Flammenstoß oder Blitzstrahl äußern kann. Die Kraft bezieht sich immer auf ein bestimmtes Element – zum Beispiel besitzen Feuergeister die Kraft Elementarer Angriff (Feuer). Der Angriff wird wie ein normaler Fernkampfangriff behandelt, mit der Fertigkeit Exotische Fernkampfwaffe + Geschicklichkeit [Körperlich] des Critters und Reichweitenschritten, die alle (Magie) Meter ansteigen. Der Schadenscode beträgt (Magie x 2)K mit einer Durchschlagskraft von –(Magieattribut des Critters), dazu kommt noch der entsprechende elementare Schaden (S. 173), wie er in der Beschreibung des Critters angegeben ist.
Elementarer Angriff (Schadstoff);P;Komplex;Speziell;S;SG S. 226;REA+INT? KON+Panz/DK-Kraftstufe;Verschmutzungsschaden SG: S. 121;ELEMENTARER ANGRIFF (SCHADSTOFF) Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Diese Kraft folgt den Regeln für die Kraft Elementarer Angriff (SR5, S. 396), allerdings mit den folgenden Veränderungen: Schadstoffe können in vielerlei Gestalt (biologische oder Industrieabfälle, ungeklärte Abwässer, biologisch gefährliche Stoffe usw.) auftreten. Schadstoffangriffe haben einen Schaden von (Magie x 2)G und eine DK von –(Magie). Außerdem muss das Opfer, wenn der Schadstoff in seinen Kreislauf gelangt ist (also nach dem Intervall gemäß der Geschwindigkeit des Toxins), einem Toxin mit den folgenden Werten widerstehen: Vektor: Kontakt, Inhalation, Einnahme Geschwindigkeit: 12 Stunden Durchdringung: 0 Kraft: Magie x 2 Wirkung: Desorientierung, Geistiger Schaden, Übelkeit
Elementarer Angriff (Strahlung);P;Komplex;Speziell;S;SG S. 226;REA+INT? KON+Panz/DK-Kraftstufe;Strahlungsschaden SG: S. 121;ELEMENTARER ANGRIFF Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Mit dieser Kraft kann ein Critter einen tödlichen Strahl elementarer Energie projizieren, der sich beispielsweise als Flammenstoß oder Blitzstrahl äußern kann. Die Kraft bezieht sich immer auf ein bestimmtes Element – zum Beispiel besitzen Feuergeister die Kraft Elementarer Angriff (Feuer). Der Angriff wird wie ein normaler Fernkampfangriff behandelt, mit der Fertigkeit Exotische Fernkampfwaffe + Geschicklichkeit [Körperlich] des Critters und Reichweitenschritten, die alle (Magie) Meter ansteigen. Der Schadenscode beträgt (Magie x 2)K mit einer Durchschlagskraft von –(Magieattribut des Critters), dazu kommt noch der entsprechende elementare Schaden (S. 173), wie er in der Beschreibung des Critters angegeben ist. ELEMENTARER ANGRIFF (STRAHLUNG) (SG) Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Diese Kraft folgt den Regeln für die Kraft Elementarer Angriff (SR5, S. 396), erzeugt dabei aber Elementarschaden durch Radioaktivität, der zu Strahlenverbrennungen, Strahlenvergiftung und anderen üblen Nebeneffekten führt. Strahlungsschaden ist Körperlicher Schaden, gegen den keine Panzerung hilft, es sei denn, sie verfügt über die Modifikation Strahlenschutz (Kreuzfeuer, S. 86). Dann verleiht der Strahlenschutz Bonuswürfel in Höhe seiner Stufe für die entsprechende Schadenswiderstandsprobe und die folgende Toxinwiderstandsprobe. Behandeln Sie jeden Strahlenangriff als Toxin, das Übelkeit verursacht (siehe Toxine, SR5, S. 410), mit einem Schaden gleich den Nettoerfolgen des Angriffs (vor der Schadenswiderstandsprobe).
Empathie;M;Auto;BF;I;CR S. 189;;;EMPATHIE Art: M Handlung: Auto Reichweite: BF Dauer: Immer Diese Kraft verleiht dem Critter eine Affinität zu allen Wesen – mit oder ohne Bewusstsein. Er erhält einen Würfelpoolbonus in Höhe seines Magieattributs für alle Proben auf Soziale Fertigkeiten, und sein Soziales Limit steigt ebenfalls um die Höhe seines Magieattributs.
Energieaura;P;Auto;S;I;SR5 S. 396;speziell;je nach Element des Geistes/ Critters;ENERGIEAURA Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Der Critter ist von einem Feld zerstörerischer Energie umgeben, die die Form von Feuer, Elektrizität, extremer Kälte und dergleichen annehmen kann. Die Kraft bezieht sich immer auf ein bestimmtes Element – Feuergeister beispielsweise besitzen die Kraft Energieaura (Feuer). Der Critter erhöht den Schadenscode jedes seiner Nahkampfangriffe um sein Magieattribut. Der Schaden kann speziell sein (s. Besondere Schadensarten, S. 173) und hat eine Durchschlagskraft von – (Magieattribut des Critters). Erfolgreiche Nahkampfangriffe gegen einen Critter mit Energieaura fügen dem Angreifer ebenfalls Schaden zu. Der Angreifer legt eine Schadenswiderstandsprobe gegen einen Schadenscode in Höhe der Magiestufe des Critters x 2 ab. Dieser Angriff hat eine Durchschlagskraft von –(Magieattribut des Critters). Sofern in der Beschreibung des Critters nicht anders angegeben, ist die Kraft immer aktiviert und kann nicht abgeschaltet werden.
Energieentzug;M;Komplex;B;P;SG S. 227;ausg. WIL+MAG;;ENERGIEENTZUG Art: M Handlung: Komplex Reichweite: B oder BF Dauer: Permanent Diese Kraft wird von einigen gefährlichen Geistern und Crittern auf unterschiedliche Art und Weise eingesetzt. Jede Version dieser Kraft ist, abhängig vom Wesen, das sie benutzt, etwas anders. Sie gestattet es dem Wesen, ähnlich wie die Kraft Essenzentzug (SR5, S. 396), die Lebensenergie eines Opfers auszusaugen – sei es die Kraftstufe, das Karma, die Magie oder die Essenz. Bei manchen Wesen – wie zum Beispiel Blutgeistern, Shedim oder Insektengeistern – hat die Kraft die Reichweite Berührung, was heißt, dass das Opfer festgehalten oder heimlich ausgesaugt werden muss. Andere Wesen, wie zum Beispiel Schattengeister, benötigen dafür nur eine Sichtverbindung und können sich aus der Ferne ernähren. Der Entzug eines Punktes Karma, Kraftstufe, Magie oder Essenz erfordert eine Ausgedehnte Probe auf Willenskraft + Magie (10 – Essenz/Kraftstufe des Ziels, 1 Minute). Wenn das Wesen dabei gestört oder unterbrochen wird, findet kein Entzug statt. Wenn die Ausgedehnte Probe erfolgreich abgeschlossen wurde, entzieht das Wesen 1 Punkt der entsprechenden Energie und wandelt ihn in 1 Punkt eines passenden Werts für sich um. Manche Critter, wie zum Beispiel astrale Bakterien oder Insektengeister, nutzen die entzogene Energie, um sich fortzupflanzen. Entzogene Punkte sind für das Opfer permanent verloren. Zusätzlich erleidet das Ziel 1 Kästchen Schaden pro entzogenem Punkt Energie. Je nach Critter kann dies Geistiger Schaden (bei Schattengeistern und astralen Bakterien) oder Körperlicher Schaden (bei Blutgeistern und Shedim) sein. Opfer, die Körperlichen Schaden erleiden, wirken ausgezehrt, abgemagert und leer und behalten oft bleibende Spuren (weißes Haar, Haarausfall, Falten, vorzeitiges Altern oder andere, seltsame Zeichen) zurück. Wenn die Magie eines Charakters durch diese Kraft auf 0 sinkt, ist er ausgebrannt und wird mundan. Wenn die Magie eines Critters auf 0 sinkt, stirbt er. Wenn die Kraftstufe eines Geistes, eines aufrechterhaltenen, verankerten oder intensivierten Zaubers, eines Fokus oder einer Manabarriere auf 0 sinkt, wird er oder sie vernichtet. Wenn die Essenz eines Opfers auf 0 sinkt, stirbt es
