Name;Kategorie;Konstitution;Geschick;Reaktion;Stärke;Willenskraft;Logik;Intuition;Charisma;Initiative;Edge;Magie;Quelle;Seite;Rüstung
Spinnenelch;Toxische Critter;10;4;4;8;2;1;3;2;;2;6;HS;105;
Seelenegel;Toxische Critter;1;1;1;1;2;1;1;1;;1;6;HS;106;
Leerenwespe;Toxische Critter;1;8;11;1;1;1;5;5;;1;6;HS;106;
Knochengeist;Geister;F+3;F;F;F+2;F;F;F-1;F-1;(F*2);F/2;F;FA;134;
Blutschatten;Geister;F;F+2;F+2;F-1;F;F;F;F+1;(F*2)+2;F/2;F;FA;135;
Abscheulichkeit;Toxische Geister;F+2;F+1;F;F+2;F;F;F;F;(F*2)+2;F/2;F;SG;87;
Ödnis;Toxische Geister;F+4;F-2;F-1;F+4;F;F-1;F;F;(F*2)+3;F/2;F;SG;88;
Nuklear;Toxische Geister;F+1;F+2;F+3;F-2;F;F;F+1;F;(F*2)+3;F/2;F;SG;88;
Schlamm;Toxische Geister;F+1;F+1;F+2;F;F;F;F;F;(F*2)+2;F/2;F;SG;88;
Seuche;Toxische Geister;F;F;F+2;F-2;F;F;F+1;F;(F*2)+2;F/2;F;SG;88;
Smog;Toxische Geister;F-2;F+3;F+4;F-3;F;F;F;F;(F*2)+3;F/2;F;SG;87;
Keramikgeist;Geister;F;F+1;F+2;F;F;F;F;F;(F*2)+2;F/2;F;FA;180;
Metallgeist;Geister;F+4;F-2;F-1;F+4;F;F-1;F;F;(F*2)-1;F/2;F;FA;180;
Energiegeist;Geister;F+1;F+2;F+3;F-2;F;F;F+1;F;(F*2)+3;F/2;F;FA;180;
Radiowellengeist;Geister;F-2;F+3;F+4;F-3;F;F;F;F;(F*2)+4;F/2;F;FA;180;
Schiffsgeist;Geister;F+4;F-1;F-1;F+2;F;F-2;F;F;(F*2)-1;F/2;F;FA;180;F
Eisenbahngeist;Geister;F+3;F-1;F-1;F+2;F+1;F-2;F;F;(F*2)-1;F/2;F;FA;181;F
Bodenfahrzeuggeist;Geister;F+1;F+2;F+1;F;F;F-2;F;F;(F*2)+1;F/2;F;FA;181;0
Flugzeuggeist;Geister;F+2;F+1;F;F+1;F;F-2;F;F;(F*2);F/2;F;FA;181;0
Harzkröte (Dämon);Geister;F+7;F-2;F;F+2;F-1;F;F;F+1;(F*2)+2;F;F;AET;34;
Krabbler (Dämon);Geister;F+4;F;F+3;F+6;F-1;F;F+3;F-1;(F*2)+6;F;F;AET;34;
Ghasts (Dämon);Geister;F+2;F;F+2;F;F;F;F;F;(F*2)+2;F;F;AET;35;
Vrygoth;Geister;F+4;F;F;F+3;F;F+2;F;F;(F*2);F;F;AET;36;
Gremlin;Geister;F;F;F+3;F;F;F;F;F;(F*2)+3;F;F;AET;36;
Anansi;Geister;F;F+2;F+2;F;F;F;F;F;(F*2)+2;F;F;AET;37;
Tsuchigumo-Krieger;Geister;F+2;F+2;F+1;F+3;F;F;F;F;(F*2)+1;F;F;AET;38;
Pfleger;Insektengeister;F;F+1;F+1;F;F;F;F;F;(F*2)+1;F/2;F;SG;98;
Nymphe;Insektengeister;F-1;F;F+3;F-1;F;F;F;F;(F*2)+3;F/2;F;SG;98;
Späher;Insektengeister;F;F+2;F+2;F;F;F;F;F;(F*2)+2;F/2;F;SG;98;
Soldat;Insektengeister;F+3;F+1;F+1;F+3;F;F;F;F;(F*2)+1;F/2;F;SG;98;
Arbeiter;Insektengeister;F;F;F;F+1;F;F;F;F;(F*2)+1;F/2;F;SG;99;
Königin/Mutter;Insektengeister;F+5;F+3;F+4;F+5;F+1;F+1;F+1;F;(F*2)+4;F/2;F;SG;99;
Shedim;Shedim;F;F;F+2;F+1;F;F;F;F;(F*2)+2;F/2;F;SG;93;
Hopper;Shedim;F;F;F+4;F;F;F;F+2;F;(F*2)+6;F/2;F;DTR;50;
Blade-Summoned;Shedim;F+1;F+3;F+2;F+1;F;F;F;F;(F*2)+2;F/2;F;DTR;50;
Horror Show;Shedim;F+1;F+3;F+2;F+1;F;F;F;F;(F*2)+2;F/2;F;DTR;51;
Unbreakable;Shedim;F+3;F+1;F+1;F+3;F;F-1;F;F;(F*2)+2;F/2;F;DTR;51;
Master Shedim;Shedim;F;F;F+2;F+1;F+1;F+1;F+1;F;(F*2)+3;F/2;F;SG;93;
Muse;Schattengeister;F;F+3;F+2;F;F+1;F;F+1;F+2;(F*2)+3;F/2;F;SG;92;
Nachtmahr;Schattengeister;F;F+3;F+2;F;F+1;F;F+1;F+2;(F*2)+3;F/2;F;SG;92;
Düsternis;Schattengeister;F;F+3;F+2;F;F+1;F;F+1;F+2;(F*2)+3;F/2;F;SG;92;
Sukkubus;Schattengeister;F;F+3;F+2;F;F+1;F;F+1;F+2;(F*2)+3;F/2;F;SG;92;
Wraith;Schattengeister;F;F+3;F+2;F;F+1;F;F+1;F+2;(F*2)+3;F/2;F;SG;92;
Kadavergeist;Dunkelgeister;F+3;F;F;F+2;F;F;F;F-1;(F*2);F/2;F;FA;52;
Leichengeist;Dunkelgeister;F+2;F-1;F+2;F-2;F;F;F+1;F-1;(F*2)+2;F/2;F;FA;53;
Fahlfeuergeist;Dunkelgeister;F+2;F+1;F+3;F-2;F;F;F+1;F-1;(F*2)+3;F/2;F;FA;53;
Fäulnisgeist;Dunkelgeister;F+3;F-1;F+2;F-2;F;F;F+1;F-1;(F*2)+2;F/2;F;FA;53;
Geröllgeist;Dunkelgeister;F+5;F-3;F-1;F+4;F;F-1;F;F-1;(F*2)+2;F/2;F;FA;53;
Anarch;Extraplanare Reisende;F-1;F-1;F+1;F-1;F;F;F;F;;F/2;F;HS;116;0
Baumgeist;Extraplanare Reisende;F+2;F;F;F+1;F;F;F;F;;F;F;HS;116;0
Blackjack;Extraplanare Reisende;F+2;F+1;F+1;F;F;F;F;F;;F/2;F;HS;117;
Zersetzer;Extraplanare Reisende;F-2;F-1;F-1;F-2;F+2;F;F;F;;F/2;F;HS;117;
Chindi;Extraplanare Reisende;F+2;F+1;F+2;F+1;F;F;F;F;;F/2;F;HS;118;F*2
Irrlicht;Extraplanare Reisende;5;10;10;1;1;5;2;5;;4;6;HS;118;12
Croki;Extraplanare Reisende;F;F;F+2;F+2;F;F;F;F;;F;F;HS;120;0
Duende;Extraplanare Reisende;F;F;F+2;F+2;F;F;F;F;;F;F;HS;121;0
Elvar;Extraplanare Reisende;F;F;F+2;F+2;F;F;F;F;;F;F;HS;121;0
Ejerian;Extraplanare Reisende;F;F;F;F;F;F;F;F;;F/2;F;HS;122;
Erinnyen;Extraplanare Reisende;F-1;F+3;F+2;F;F;F;F;F;;F/2;F;HS;123;(F x 2)H
Grüner Mann/Stadtherz;Extraplanare Reisende;F+3;F-1;F+2;F+4;F;F;F;F;;F/2;F;HS;123;0
Kobold;Extraplanare Reisende;F;F;F+3;F;F;F;F;F;;F;F;HS;124;0
Jarl;Extraplanare Reisende;F+2;F-1;F+2;F+2;F;F;F+2;F;;F/2;F;HS;125;0
Kappa;Extraplanare Reisende;F+5;F;F-1;F+1;F;F;F;F;;F;F;HS;126;0
Morbi;Extraplanare Reisende;F;F;F+1;F-2;F;F;F+1;F+2;;F/2;F;HS;128;0
Nocnitsa;Extraplanare Reisende;F-3;F+4;F+5;F-2;F-1;F;F;F;;F/2;F;HS;129;
Phantom;Extraplanare Reisende;F+1;F;F+2;F-2;F;F;F;F;;F/2;F;HS;130;0
Preta;Extraplanare Reisende;F-1;F+1;F+2;F-1;F;F;F;F;;F/2;F;HS;131;F
Tausendstecher;Extraplanare Reisende;F+1;F+4;F+2;F+4;F;F;F;F;;F/2;F;HS;132;(F x 2)H
Tungak;Extraplanare Reisende;F+1;F;F+2;F-2;F;F;F;F;;F;F;HS;133;(F x 2)H
Ver;Extraplanare Reisende;4;5;5;5;3;3;4;4;;4;6;HS;134;0
Vucub-Caquix;Extraplanare Reisende;F+3;F+5;F+4;F+2;F;F;F+1;F+4;;F;F;HS;135;12H
Watcher;Ritual;0;0;0;0;F-2;F-2;F-2;F-2;F*2;0;F;SR5;298;
Homunkulus (zerbrechlich);Ritual;1;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (billiges Material);Ritual;2;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (durchschnittliches Material);Ritual;4;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (schweres Material);Ritual;6;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (verstärktes Material);Ritual;8;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (tragendes Material);Ritual;10;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (schweres tragendes Material);Ritual;12;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (gepanzertes verstärktes Material);Ritual;14;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Homunkulus (gehärtetes Material);Ritual;16;F-2;F-2;F;1;1;1;0;F+1;0;0;SR5;298;
Wiedergänger;Ritual;F;F-2;F-2;F;1;1;1;1;F-1;0;0;HT;129;
Östlicher Drache;Drakoformen;17;8;8;35;9;10;8;9;;9;13;SR5;407;
Gefiederte Schlange;Drakoformen;15;9;10;30;10;9;9;8;;9;13;SR5;407;
Westlicher Drache;Drakoformen;18;7;8;40;8;8;8;8;;9;13;SR5;407;
Vampir;Infizierte;4;3;5;4;4;3;4;5;;6;6;HS;82;
Bandersnatch;Infizierte;9;3;5;9;5;2;6;1;;5;7;HS;87;
Banshee;Infizierte;4;4;5;4;4;3;4;6;;5;6;HS;87;
Fallbär;Paranormale Critter;3;3;3;5;5;2;4;1;;2;6;HS;60;
Dzoo-Noo-Qua;Infizierte;9;2;5;9;4;2;4;1;;5;6;HS;87;
Fomoraig;Infizierte;10;2;4;10;4;1;3;1;;5;6;HS;87;
Nager;Infizierte;6;3;4;7;5;2;5;2;;5;6;HS;87;
Goblin;Infizierte;6;3;4;6;5;2;5;2;;5;6;HS;88;
Grendel;Infizierte;8;3;4;8;4;1;4;1;;4;6;HS;88;
Schnitter;Infizierte;5;4;6;6;4;1;5;1;;5;6;HS;88;
Werwolf;Infizierte;4;3;4;7;4;2;4;1;;5;6;HS;89;
Mutaqua;Infizierte;9;3;5;10;5;2;4;1;;5;6;HS;90;
Nosferatu;Infizierte;4;4;4;4;5;5;5;5;;5;6;HS;91;
Kriegshund;Kriegsformen;8;7;7;7;6;7;5;6;;6;3;HS;176;
Kriegsdelfin;Kriegsformen;11;9;8;11;7;7;8;7;;6;3;HS;177;
Schlachtross;Kriegsformen;11;8;8;11;7;6;5;7;;5;3;HS;177;
Ahi;Technocritter;5;7;5;6;4;6;3;6;;6;0;HS;145;
Bastet (Hauskatze);Technocritter;5;7;6;4;6;7;5;6;;6;0;HS;145;
Bastet (Großkatze);Technocritter;9;8;7;8;6;7;5;6;;6;0;HS;145;
Digit (Küchenschabe);Technocritter;4;5;8;3;3;5;3;5;;5;0;HS;146;
Digit (Spinne);Technocritter;4;5;5;3;5;5;3;4;;6;0;HS;146;
Flipper;Technocritter;11;8;8;10;7;8;6;7;;6;0;HS;147;
Furfur;Technocritter;8;7;8;7;6;6;4;6;;5;0;HS;147;
Wüstling;Technocritter;4;7;6;4;5;7;4;6;;5;0;HS;148;
Straßenköter (Hund);Technocritter;7;6;7;7;6;7;5;6;;6;0;HS;148;
Straßenköter (Wolf);Technocritter;9;6;8;8;6;7;5;6;;6;0;HS;148;
Nezumi;Technocritter;4;6;5;3;4;5;4;5;;6;0;HS;148;
Gauner (Krähe);Technocritter;5;6;5;4;3;6;4;5;;5;0;HS;148;
Gauner (Adler);Technocritter;6;8;7;5;3;6;4;5;;7;0;HS;148;
Testudine;Technocritter;4;2;1;2;2;2;2;3;;6;0;KC;167;
Yogi;Technocritter;12;7;8;11;6;5;4;7;;6;3;KC;165;
Elephantidae;Technocritter;15;7;7;19;6;6;5;5;;6;3;KC;166;
Crocodylia;Technocritter;11;8;7;12;5;5;4;4;;6;3;KC;166;
Gef;Technocritter;3;9;10;5;6;9;4;6;;6;0;KC;169;
Ipodo (Ferret);Technocritter;3;5;5;4;6;8;4;8;;6;0;KC;170;
Ipodo (Otter);Technocritter;4;6;6;5;6;8;4;8;;6;0;KC;170;
Ipodo (Badger);Technocritter;4;6;6;5;6;8;4;8;;6;0;KC;170;
Ipodo (Wolverine);Technocritter;5;7;7;6;6;8;4;8;;6;0;KC;170;
Energizer;Technocritter;3;8;7;4;6;9;4;6;;6;0;KC;172;
G33ko;Technocritter;3;7;7;4;5;9;4;6;;6;0;KC;172;
Rybbyt;Technocritter;4;6;5;4;5;5;4;6;;6;0;KC;173;
Migaloo;Technocritter;24;7;7;34;6;7;5;8;;6;0;KC;177;
Verwüster;Technocritter;9;7;8;8;4;7;4;7;;6;0;KC;176;
E-Fisch;Technocritter;5;5;6;5;4;5;4;5;;6;0;KC;175;
Datenkamel;Technocritter;13;6;6;11;8;6;4;6;;6;0;KC;175;
Primate;Technocritter;9;9;9;9;3;5;2;3;;3;0;KC;169;
Techwurm;Technocritter;3;3;3;3;3;3;4;5;;6;0;KC;174;
Dämon;Protosapiens;0;0;0;0;6;9;5;7;;6;0;HS;153;
Frobnitz;Protosapiens;0;0;0;0;7;7;5;6;;8;0;HS;153;
Grue;Protosapiens;0;0;0;0;5;9;5;8;;8;0;HS;154;
SINtax;Protosapiens;0;0;0;0;6;5;4;5;;5;0;HS;155;
Tentakel;Protosapiens;0;0;0;0;5;6;4;7;;5;0;HS;155;
Cyberwerwolf;Protosapiens;0;0;0;0;6;8;5;8;;7;0;HS;153;
Schwergewicht;Protosapiens;0;0;0;0;5;6;4;9;;7;0;HS;154;
Yantra;Protosapiens;0;0;0;0;7;7;6;8;;7;0;HS;156;
Kurier-Sprite;Sprites;0;0;0;0;F+2;F+1;F+3;F;(F*2)+1;0;0;SR5;258;
Infiltrator-Sprite;Sprites;0;0;0;0;F+1;F+2;F+3;F;(F*2)+2;0;0;SR5;258;
Daten-Sprite;Sprites;0;0;0;0;F+1;F+4;F;F-1;(F*2)+4;0;0;SR5;258;
Stör-Sprite;Sprites;0;0;0;0;F+2;F+1;F;F+3;(F*2)+1;0;0;SR5;258;
Maschinen-Sprite;Sprites;0;0;0;0;F+2;F+3;F;F+1;(F*2)+3;0;0;SR5;258;
Begleiter-Sprite;Sprites;0;0;0;0;F+4;F;F+1;F-1;(F*2);0;0;KC;100;
Generalisten-Sprite;Sprites;0;0;0;0;F+1;F+1;F+1;F+1;(F*2);0;0;KC;100;
Gabrielshund;Paranormale Critter;3;5;6;7;4;2;3;2;;2;8;SW;14;
Kalkwyvern;Paranormale Critter;11;9;8;12;8;7;9;7;;7;10;SHB3;170;
Grubendachs;Paranormale Critter;8;9;9;7;7;6;7;6;;7;7;SHB3;207;
SOX-Termite;Paranormale Critter;5;5;6;5;7;5;6;4;;5;6;SHB3;208;
Steinbeißer;Paranormale Critter;11;7;8;12;7;6;7;7;;7;7;SHB3;209;
Panzerassel;Mutierte Critter;18;3;2;16;1;1;1;6;;1;0;SHB3;207;
Chickcharney;Paranormale Critter;5;5;6;6;5;5;3;5;;1;5;HT;132;
Chupacabra;Paranormale Critter;8;8;6;6;6;3;5;2;;2;5;HT;132;
Magui;Paranormale Critter;6;6;3;12;2;4;6;3;;2;6;HT;133;
Nachtmanta;Paranormale Critter;9;9;6;9;2;6;3;5;;3;5;HT;134;
Gun Bunny;Paranormale Critter;5;7;6;6;2;1;7;5;;9;4;BTB;100;
African Zipper;Paranormale Critter;2;9;7;3;3;1;7;5;;9;4;BTB;100;
Sir Monty's Hare;Paranormale Critter;4;8;7;4;2;1;7;8;;9;4;BTB;100;
Rhodesian Razorback;Paranormale Critter;8;5;6;6;4;2;7;6;;2;4;BTB;100;
Mine Spider;Paranormale Critter;6;6;4;8;2;1;5;5;;2;4;BTB;101;
