Name;KATEGORIE;ART;REICHWEITE;SCHADEN;DAUER;ENTZUG;SEITE;Widerstand;Elementarschaden;Erläuterungen
[Lebensform] Entdecken (aktiv, ungerichtet);Wahrnehmungszauber;M;F*MAG;;A;F - 2;SG S. 137;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;"[LEBENSFORM] ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 2 ERWEITERTES [LEBENSFORM] ENTDECKEN (AKTIV, UNGERICHTET, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS Das Ziel entdeckt alle Angehörigen einer bestimmten Lebensform innerhalb der Sinnesreichweite und erfährt ihre Anzahl und ihre Aufenthaltsorte relativ zur eigenen Position. Es handelt sich hier eigentlich um viele verschiedene Zauber, die für jede Lebensform (Orks, Elfen, Drachen usw.) separat erlernt werden müssen. Geister sind auch hier keine erlaubten Lebensformen; sie werden mit dem Zauber Magie Entdecken entdeckt."
[Material] Formen (Transformation, Flächenwirkung);Manipulationszauber;P;BF (F);;A;F - 2;SG S. 128;Objektwiderst. SR5: S. 290;;[MATERIAL] FORMEN (TRANSFORMATION, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: A Entzug: KS - 2 Mit diesem Zauber kann der Zauberer ein Volumen eines bestimmten anorganischen Materials (Luft, Erde, Wasser, Schlamm, Lava, Plasstahl, Beton, Teer usw.) innerhalb des Wirkungsbereichs nach seinen Wünschen formen. Der Zauberer muss eine erfolgreiche Spruchzaubereiprobe gegen die Objektwiderstandsprobe des Materials ablegen und das Material dann mit einem mentalen Befehl formen. Das Material kann nach Belieben geformt und bewegt werden, wobei die maximale Bewegungsrate pro Kampfrunde [Nettoerfolge bei der Spruchzaubereiprobe] Meter beträgt. Lockeres Material kann einfach geformt und bewegt werden, aber verstärktes oder fest verankertes Material (wie z. B. Wände oder andere Gebäudeteile) muss zuerst zerbrochen werden, indem man seine Strukturstufe um (Kraftstufe) Punkte pro Runde senkt. Mit diesem Zauber kann man schnell Löcher graben, Flüsse umleiten, Ballons füllen, einen Pfad durch ein Feuer bahnen, eine Barriere errichten oder eine Tür öffnen, wo zuvor keine war. Für jedes Material muss ein separater Zauber - wie zum Beispiel Sand Formen, Eis Formen, Holz Formen usw. - gelernt werden. Wenn der Zauber endet, bleiben die veränderten Materialien in ihrer neuen Form. Wenn das Material diese Form eigentlich nicht halten kann, kollabiert sie. Das Material kann auch verstreut, gelöscht oder verdunstet werden. So könnte auch ein Feuer gelöscht werden, indem man seinen Schadenscode pro Runde um die Nettoerfolge bei der Spruchzaubereiprobe senkt.
[Metatyp/Spezies] Erschlagen (Direkt);Kampfzauber;M;BF;K;S;F - 4;SG S. 118;WIL+Antimagie;;EIN [METATYP/SPEZIES] WENIGER (DIREKT, BERÜHRUNG) Art: M Reichweite: B Schaden: K Dauer: S Entzug: KS - 6 [METATYP/SPEZIES] ERSCHLAGEN (DIREKT) Art: M Reichweite: BF Schaden: K Dauer: S Entzug: KS - 4 [METATYP/SPEZIES] NIEDERMETZELN (DIREKT, FLÄCHENWIRKUNG) Art: M Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 2 Diese Zauber sind Varianten von Todeshand, Manablitz und Manaball (S. 122), die jeweils speziell auf einen bestimmten Metatyp oder eine bestimmte Spezies ausgelegt sind (Eine Naga Weniger, Orks Erschlagen, Zwerge Niedermetzeln usw.). Das Ziel des Zaubers wird in der Zauberformel festgelegt. Diese Zauber unterscheiden nur nach der jeweiligen Spezies, niemals nach sozialem Rang, gesellschaftlichem Stand oder anderen Merkmalen. Einer Weniger erfordert die Berührung des Ziels. Erschlagen wirkt gegen ein einzelnes Ziel. Niedermetzeln ist ein Flächenzauber.
[Metatyp/Spezies] Niedermetzeln (Direkt, Flächenwirkung);Kampfzauber;M;BF (F);K;S;F - 2;SG S. 118;WIL+Antimagie;;EIN [METATYP/SPEZIES] WENIGER (DIREKT, BERÜHRUNG) Art: M Reichweite: B Schaden: K Dauer: S Entzug: KS - 6 [METATYP/SPEZIES] ERSCHLAGEN (DIREKT) Art: M Reichweite: BF Schaden: K Dauer: S Entzug: KS - 4 [METATYP/SPEZIES] NIEDERMETZELN (DIREKT, FLÄCHENWIRKUNG) Art: M Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 2 Diese Zauber sind Varianten von Todeshand, Manablitz und Manaball (S. 122), die jeweils speziell auf einen bestimmten Metatyp oder eine bestimmte Spezies ausgelegt sind (Eine Naga Weniger, Orks Erschlagen, Zwerge Niedermetzeln usw.). Das Ziel des Zaubers wird in der Zauberformel festgelegt. Diese Zauber unterscheiden nur nach der jeweiligen Spezies, niemals nach sozialem Rang, gesellschaftlichem Stand oder anderen Merkmalen. Einer Weniger erfordert die Berührung des Ziels. Erschlagen wirkt gegen ein einzelnes Ziel. Niedermetzeln ist ein Flächenzauber.
[Objekt] Auflösen (Indirekt, Elementar, Flächenwirkung);Kampfzauber;P;BF (F);K;S;F;SG S. 120;REA+INT?KON+Panz/DK-KS?Granate;Säureschaden SR5: S. 175;"[OBJEKT] VERÄTZEN (INDIREKT, ELEMENTAR, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 5 [OBJEKT] ZERSETZEN (INDIREKT, ELEMENTAR) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 [OBJEKT] AUFLÖSEN (INDIREKT, ELEMENTAR, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 1 Diese Zauber erschaffen einen Strahl aus korrosivem Spray, der Säureschaden (SR5, S. 175) verursacht - ähnlich wie die Zauber Säurestrahl und Säurewelle (S. 121). Die korrosive Kraft dieser Zauber wirkt nur gegen die Objekte, auf die der Zauber ausgelegt ist. Alle anderen Objekte bleiben unversehrt. Diese Zauber müssen für jede Art von Objekt separat erlernt werden, also z. B. Wand Verätzen, Elektronik Zersetzen, Panzerung Auflösen usw. Der Schadenscode eines erfolgreich gewirkten Indirekten Kampfzaubers entspricht der Kraftstufe + Nettoerfolge. Indirekte Kampfzauber mit Flächenwirkung bewegen sich vom Magier zum Explosionspunkt hin und „explodieren“ dort. Die Probe wird ähnlich wie beim Angriff mit Granaten (S. 182) abgelegt: Man würfelt mit Spruchzauberei + Magie [Kraftstufe] (3) mit einer Abweichung von 2W6 Metern. Im Gegensatz zu Granaten erhöhen Nettoerfolge (über dem Schwellenwert von 3) den Schadenscode des Zaubers; wird der Schwellenwert nicht erreicht, geht der Zauber immer noch los, aber die Erfolge reduzieren die Abweichung um 1 Meter pro Erfolg. SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen. | SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen."
[Objekt] Entdecken (aktiv, ungerichtet);Wahrnehmungszauber;P;F*MAG;;A;F - 2;SG S. 137;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;[OBJEKT] ENTDECKEN (AKTIV, UNGERICHTET) Art: P Reichweite: B Dauer: A Entzug: KS - 2 Das Ziel entdeckt alle Gegenstände der angegebenen Objektkategorie innerhalb der Sinnesreichweite und erfährt ihre Anzahl und ihre Aufenthaltsorte relativ zur eigenen Position. Jede Objektkategorie muss mit einem eigenen Zauber (Feuerwaffen Entdecken, Computer Entdecken, Sprengstoffe Entdecken usw.) aufgespürt werden. Diese Zauber müssen separat erlernt und gewirkt werden.
[Objekt] Rammen (Direkt, Berührung);Kampfzauber;P;B;K;S;F - 5;SG S. 120;KON+Antimagie;;[OBJEKT] RAMMEN (DIREKT, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 5 [OBJEKT] ZERTRÜMMERN (DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 [OBJEKT] VERNICHTEN (DIREKT, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 1 Diese Zauber sind Varianten von Energieschlag, Energieblitz und Energieball (S. 119), die jeweils nur eine bestimmte Art von unbelebtem Objekt treffen. Für jede Art von Objekt muss ein separater Zauber gelernt werden (z. B. Tür Rammen, Möbel Zertrümmern, Feuerwaffen Vernichten usw.). Diese Zauber wirken nicht gegen Fahrzeuge. Manche Objekte widerstehen diesen Zaubern mit ihrer Barrierestufe (bei Türen und Wänden), andere mit ihrem Objektwiderstand. Schaden senkt die Effektivität eines Objektes genauso, wie Schaden Metamenschen einschränkt. Für jeweils volle drei Kästchen Schaden erhalten Proben, die mit dem Gegenstand durchgeführt werden, einen Würfelpoolmodifikator von -1. Rammen erfordert die Berührung des Ziels. Zertrümmern wirkt gegen ein einzelnes Ziel, Vernichten ist ein Flächenzauber.
[Objekt] Verätzen (Indirekt, Elementar, Berührung);Kampfzauber;P;B;K;S;F - 5;SG S. 120;REA+INT? KON+Panz/DK-Kraftstufe;Säureschaden SR5: S. 175;[OBJEKT] VERÄTZEN (INDIREKT, ELEMENTAR, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 5 [OBJEKT] ZERSETZEN (INDIREKT, ELEMENTAR) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 [OBJEKT] AUFLÖSEN (INDIREKT, ELEMENTAR, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 1 Diese Zauber erschaffen einen Strahl aus korrosivem Spray, der Säureschaden (SR5, S. 175) verursacht - ähnlich wie die Zauber Säurestrahl und Säurewelle (S. 121). Die korrosive Kraft dieser Zauber wirkt nur gegen die Objekte, auf die der Zauber ausgelegt ist. Alle anderen Objekte bleiben unversehrt. Diese Zauber müssen für jede Art von Objekt separat erlernt werden, also z. B. Wand Verätzen, Elektronik Zersetzen, Panzerung Auflösen usw. Der Schadenscode eines erfolgreich gewirkten Indirekten Kampfzaubers entspricht der Kraftstufe + Nettoerfolge. SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen. | SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen.
[Objekt] Vernichten (Direkt, Flächenwirkung);Kampfzauber;P;BF (F);K;S;F - 1;SG S. 120;KON+Antimagie;;[OBJEKT] RAMMEN (DIREKT, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 5 [OBJEKT] ZERTRÜMMERN (DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 [OBJEKT] VERNICHTEN (DIREKT, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 1 Diese Zauber sind Varianten von Energieschlag, Energieblitz und Energieball (S. 119), die jeweils nur eine bestimmte Art von unbelebtem Objekt treffen. Für jede Art von Objekt muss ein separater Zauber gelernt werden (z. B. Tür Rammen, Möbel Zertrümmern, Feuerwaffen Vernichten usw.). Diese Zauber wirken nicht gegen Fahrzeuge. Manche Objekte widerstehen diesen Zaubern mit ihrer Barrierestufe (bei Türen und Wänden), andere mit ihrem Objektwiderstand. Schaden senkt die Effektivität eines Objektes genauso, wie Schaden Metamenschen einschränkt. Für jeweils volle drei Kästchen Schaden erhalten Proben, die mit dem Gegenstand durchgeführt werden, einen Würfelpoolmodifikator von -1. Rammen erfordert die Berührung des Ziels. Zertrümmern wirkt gegen ein einzelnes Ziel, Vernichten ist ein Flächenzauber.
[Objekt] Zersetzen (Indirekt, Elementar);Kampfzauber;P;BF;K;S;F - 3;SG S. 120;REA+INT? KON+Panz/DK-Kraftstufe;Säureschaden SR5: S. 175;[OBJEKT] VERÄTZEN (INDIREKT, ELEMENTAR, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 5 [OBJEKT] ZERSETZEN (INDIREKT, ELEMENTAR) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 [OBJEKT] AUFLÖSEN (INDIREKT, ELEMENTAR, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 1 Diese Zauber erschaffen einen Strahl aus korrosivem Spray, der Säureschaden (SR5, S. 175) verursacht - ähnlich wie die Zauber Säurestrahl und Säurewelle (S. 121). Die korrosive Kraft dieser Zauber wirkt nur gegen die Objekte, auf die der Zauber ausgelegt ist. Alle anderen Objekte bleiben unversehrt. Diese Zauber müssen für jede Art von Objekt separat erlernt werden, also z. B. Wand Verätzen, Elektronik Zersetzen, Panzerung Auflösen usw. Der Schadenscode eines erfolgreich gewirkten Indirekten Kampfzaubers entspricht der Kraftstufe + Nettoerfolge. SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen. | SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen.
