Name;attribute;Kategorie;default;skillgroup;Quelle;Seite
Industriemechanik;LOG;Technische Aktionsfertigkeiten;False;Engineering;SR5;145
Unterricht;CHA;Soziale Aktionsfertigkeiten;True;;SR5;138
Einschüchtern;CHA;Soziale Aktionsfertigkeiten;True;;SR5;139
Führung;CHA;Soziale Aktionsfertigkeiten;True;Influence;SR5;139
Schlosser;AGI;Technische Aktionsfertigkeiten;False;;SR5;145
Gewehre;AGI;Kampf-Aktionsfertigkeiten;True;Firearms;SR5;132
Medizin;LOG;Technische Aktionsfertigkeiten;False;Biotech;SR5;145
Seefahrtmechanik;LOG;Technische Aktionsfertigkeiten;False;Engineering;SR5;145
Navigation;INT;Technische Aktionsfertigkeiten;True;Outdoors;SR5;145
Verhandlung;CHA;Soziale Aktionsfertigkeiten;True;Influence;SR5;139
Fingerfertigkeit;AGI;Körperliche Aktionsfertigkeiten;False;Stealth;SR5;133
Wahrnehmung;INT;Körperliche Aktionsfertigkeiten;True;;SR5;133
Vorführung;CHA;Soziale Aktionsfertigkeiten;True;Acting;SR5;139
Raumfahrzeuge;REA;Fahrzeug-Aktionsfertigkeiten;False;;SR5;146
Flugzeuge;REA;Fahrzeug-Aktionsfertigkeiten;False;;SR5;147
Bodenfahrzeuge;REA;Fahrzeug-Aktionsfertigkeiten;True;;SR5;147
Läufer;REA;Fahrzeug-Aktionsfertigkeiten;False;;SR5;147
Schiffe;REA;Fahrzeug-Aktionsfertigkeiten;True;;SR5;147
Pistolen;AGI;Kampf-Aktionsfertigkeiten;True;Firearms;SR5;132
Registrieren;RES;Resonanz-Aktionsfertigkeiten;False;Tasking;SR5;143
Ritualzauberei;MAG;Magische Aktionsfertigkeiten;False;Sorcery;SR5;142
Laufen;STR;Körperliche Aktionsfertigkeiten;True;Athletics;SR5;133
Schleichen;AGI;Körperliche Aktionsfertigkeiten;True;Stealth;SR5;133
Software;LOG;Technische Aktionsfertigkeiten;False;Electronics;SR5;145
Spruchzauberei;MAG;Magische Aktionsfertigkeiten;False;Sorcery;SR5;143
Herbeirufen;MAG;Magische Aktionsfertigkeiten;False;Conjuring;SR5;143
Survival;WIL;Körperliche Aktionsfertigkeiten;True;Outdoors;SR5;133
Schwimmen;STR;Körperliche Aktionsfertigkeiten;True;Athletics;SR5;134
Wurfwaffen;AGI;Kampf-Aktionsfertigkeiten;True;;SR5;132
Spurenlesen;INT;Körperliche Aktionsfertigkeiten;True;Outdoors;SR5;134
Waffenloser Kampf;AGI;Kampf-Aktionsfertigkeiten;True;Close Combat;SR5;132
